id,allegiance,person,parish,latlng
54,Parliamentarian,"Elizabeth Robinson of Hutton Bonville, North Riding of Yorkshire",BIRKBY,"54.3974,-1.47016"
55,Parliamentarian,"Mary Farthing of Scarborough, North Riding of Yorkshire",SCARBOROUGH,"54.2844,-0.408660"
56,Parliamentarian,"Ralph White of Sheriff Hutton, North Riding of Yorkshire",SHERIFF HUTTON,"54.0891,-1.00555"
57,Parliamentarian,"Alice Rogers of Thirsk, North Riding of Yorkshire",THIRSK,"54.2325,-1.34281"
58,Parliamentarian,"Leonard Ward of Maunby, North Riding of Yorkshire",KIRBY WISKE,"54.2719,-1.46190"
59,Parliamentarian,"Richard Allen of Carperby, North Riding of Yorkshire",AYSGARTH,"54.3040,-1.98968"
60,Parliamentarian,"John Neeson of Richmond, North Riding of Yorkshire",RICHMOND,"54.4031,-1.73745"
61,Parliamentarian,"Alice Marshall of Farmanby, North Riding of Yorkshire",ELLERBURN,"54.2319,-0.726068"
62,Parliamentarian,"Margaret Ward of Maunby, North Riding of Yorkshire",KIRBY WISKE,"54.2719,-1.46190"
63,Parliamentarian,"John Shippard of Thirsk, North Riding of Yorkshire",THIRSK,"54.2325,-1.34281"
64,Parliamentarian,"Mary Fawdington of Tollerton, North Riding of Yorkshire",ALNE,"54.0713,-1.21788"
65,Parliamentarian,"John Gowerly of Strensall, North Riding of Yorkshire",STRENSALL,"54.0366,-1.03820"
66,Parliamentarian,"John Nixon of Crathorne, North Riding of Yorkshire",CRATHORNE,"54.4607,-1.32197"
67,Parliamentarian,"Leonard Ward of Maunby, North Riding of Yorkshire",KIRBY WISKE,"54.2719,-1.46190"
68,Parliamentarian,"John Gowerly of Strensall, North Riding of Yorkshire",STRENSALL,"54.0366,-1.03820"
69,Parliamentarian,"George Weightman of Catterick, North Riding of Yorkshire",CATTERICK,"54.3770,-1.63188"
70,Parliamentarian,"Mary Fawdington of Tollerton, North Riding of Yorkshire",ALNE,"54.0713,-1.21788"
71,Parliamentarian,"Margaret Denton of Crathorne, North Riding of Yorkshire",CRATHORNE,"54.4607,-1.32197"
72,Parliamentarian,"Michaell Flower of Northallerton, North Riding of Yorskhire",NORTHALLERTON,"54.3404,-1.43455"
73,Parliamentarian,"Isabel Peak of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
74,Parliamentarian,"Oliver Peake of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
75,Parliamentarian,"John Gowerly of Strensall, North Riding of Yorkshire",STRENSALL,"54.0366,-1.03820"
76,Parliamentarian,"Mary Fawdington of Tollerton, North Riding of Yorkshire",ALNE,"54.0713,-1.21788"
77,Parliamentarian,"Elizabeth Midleton of Fremington, North Riding of Yorkshire",GRINTON,"54.3856,-1.93036"
78,Parliamentarian,"Ann Ward of Brompton, North Riding of Yorkshire",BROMPTON,"54.3618,-1.42410"
79,Parliamentarian,"Margaret Rooth of Thornton-le-Street, North Riding of Yorkshire",THORNTON-LE-STREET,"54.2701,-1.36635"
80,Parliamentarian,"Mathew Rymer, late of Morton-on-Swale, North Riding of Yorkshire",AINDERBY STEEPLE,"54.3226,-1.49926"
81,Parliamentarian,"Ellin Fishacke of Northallerton, North Riding of Yorkshire",NORTHALLERTON,"54.3404,-1.43455"
82,Parliamentarian,"Ann Turner of Hauxwell, North Riding of Yorkshire",HAUXWELL,"54.3366,-1.74519"
83,Parliamentarian,"William Duck of Tollerton, North Riding of Yorkshire",ALNE,"54.0713,-1.21788"
84,Parliamentarian,"John Gowerly of Strensall, North Riding of Yorkshire",STRENSALL,"54.0366,-1.03820"
85,Parliamentarian,"Ellin Fishacke of Northallerton, North Riding of Yorkshire",NORTHALLERTON,"54.3404,-1.43455"
86,Parliamentarian,"Isabel Dunning of Sigston, North Riding of Yorkshire",KIRBY SIGSTON,"54.3474,-1.36176"
87,Parliamentarian,"Margaret Ward of Maunby, North Riding of Yorkshire",KIRBY WISKE,"54.2719,-1.46190"
88,Parliamentarian,"Elizabeth Skipton of Catterick, North Riding of Yorkshire",CATTERICK,"54.3770,-1.63188"
89,Parliamentarian,"George Weightman of Catterick, North Riding of Yorkshire",CATTERICK,"54.3770,-1.63188"
90,Parliamentarian,"Elizabeth Midleton of Fremington, North Riding of Yorkshire",GRINTON,"54.3856,-1.93036"
91,Parliamentarian,"Ann Ward of Brompton, North Riding of Yorkshire",BROMPTON,"54.3618,-1.42410"
92,Parliamentarian,"George Weightman of Catterick, North Riding of Yorkshire",CATTERICK,"54.3770,-1.63188"
93,Parliamentarian,"Mathew Rymer, late of Morton-on-Swale, North Riding of Yorkshire",AINDERBY STEEPLE,"54.3226,-1.49926"
94,Parliamentarian,"Elizabeth Skipton of Catterick, North Riding of Yorkshire",CATTERICK,"54.3770,-1.63188"
95,Parliamentarian,"George Weightman of Catterick, North Riding of Yorkshire",CATTERICK,"54.3770,-1.63188"
96,Parliamentarian,"George Hutchinson of Hutton Bonville, North Riding of Yorkshire",BIRKBY,"54.3974,-1.47016"
97,Parliamentarian,"Elizabeth Robinson of Hutton Bonville, North Riding of Yorkshire",BIRKBY,"54.3974,-1.47016"
98,Parliamentarian,"Thomas Robinson of Hutton Bonville, North Riding of Yorkshire",BIRKBY,"54.3974,-1.47016"
99,Parliamentarian,"John Wildon of Scawton, North Riding of Yorkshire",SCAWTON,"54.2445,-1.15790"
100,Parliamentarian,"George Weightman of Catterick, North Riding of Yorkshire",CATTERICK,"54.3770,-1.63188"
101,Parliamentarian,"Alice Fletcher of Stokesley, North Riding of Yorkshire",STOKESLEY,"54.4703,-1.19086"
102,Parliamentarian,"Isabel Dunning of Sigston, North Riding of Yorkshire",KIRBY SIGSTON,"54.3474,-1.36176"
103,Parliamentarian,"John Gowerly of Strensall, North Riding of Yorkshire",STRENSALL,"54.0366,-1.03820"
104,Parliamentarian,"Anthony Stockdale of Aldbrough, North Riding of Yorkshire",ALDBOROUGH,"54.0911,-1.38044"
105,Parliamentarian,"Richard Todd of Allerton, North Riding of Yorkshire",NORTHALLERTON,"54.3404,-1.43455"
106,Parliamentarian,"Robert Parkyn of Bainbridge, North Riding of Yorkshire",AYSGARTH,"54.3075,-2.10309"
107,Parliamentarian,"Richard Loftus of Manfield, North Riding of Yorkshire",MANFIELD,"54.5156,-1.66114"
108,Parliamentarian,"Anne Robinson of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
109,Parliamentarian,"Alice Fletcher of Stokesley, North Riding of Yorkshire",STOKESLEY,"54.4703,-1.19086"
110,Parliamentarian,"Ann Dennison of Brignall, North Riding of Yorkshire",ROKEBY,"54.5063,-1.89223"
111,Parliamentarian,"Simon Cowpland of Reeth in Swaledale, North Riding of Yorkshire",GRINTON,"54.3892,-1.94217"
112,Parliamentarian,"Mary Williamson of Kirby Wiske, North Riding of Yorkshire",KIRBY WISKE,"54.2582,-1.42472"
113,Parliamentarian,"Edward Wilson of Stonegrave, North Riding of Yorkshire",STONEGRAVE,"54.1919,-0.995265"
114,Parliamentarian,"John Parkinson of Guisborough, North Riding of Yorkshire",GUISBOROUGH,"54.5358,-1.04998"
115,Parliamentarian,"Anne Shackleton of Middleham, North Riding of Yorkshire",MIDDLEHAM,"54.2867,-1.80498"
116,Parliamentarian,"Ferdinando Currie of Marske, North Riding of Yorkshire",MARSKE,"54.3997,-1.83927"
117,Parliamentarian,"Thomas Taylor of Marske, North Riding of Yorkshire",MARSKE,"54.3997,-1.83927"
118,Parliamentarian,"Alice Fletcher of Stokesley, North Riding of Yorkshire",STOKESLEY,"54.4703,-1.19086"
119,Parliamentarian,"Thomas Browne of Long Ruston, North Riding of Yorkshire",WYKEHAM,"54.2344,-0.531615"
120,Parliamentarian,"Joan Blanshard of Malton, North Riding of Yorkshire",MALTON,"54.1348,-0.796443"
121,Parliamentarian,"Robert Marshall of Farmanby, North Riding of Yorkshire",ELLERBURN,"54.2319,-0.726068"
122,Parliamentarian,"Joan Blanshard of Malton, North Riding of Yorkshire",MALTON,"54.1348,-0.796443"
123,Parliamentarian,"Mary Williamson of Kirby Wiske, North Riding of Yorkshire",KIRBY WISKE,"54.2582,-1.42472"
124,Parliamentarian,"Thomas Boynton of West Ayton, North Riding of Yorkshire",HUTTON BUSCEL,"54.2477,-0.489299"
125,Parliamentarian,"Joan Blanshard of Malton, North Riding of Yorkshire",MALTON,"54.1348,-0.796443"
126,Parliamentarian,"Thomas Barley of Guisborough, North Riding of Yorkshire",GUISBOROUGH,"54.5358,-1.04998"
127,Parliamentarian,"George Weightman of Catterick, North Riding of Yorkshire",CATTERICK,"54.3770,-1.63188"
128,Parliamentarian,"George Weightman of Catterick, North Riding of Yorkshire",CATTERICK,"54.3770,-1.63188"
129,Parliamentarian,"Ann Dennison of Brignall, North Riding of Yorkshire",ROKEBY,"54.5063,-1.89223"
130,Parliamentarian,"Jane Walker of Hunton, North Riding of Yorkshire",PATRICK BROMPTON,"54.3267,-1.71313"
131,Royalist,"James Wheelhouse of Wass, North Riding of Yorkshire",OLD BYLAND,"54.2046,-1.15153"
132,Royalist,"John Elwood of Raskelf, North Riding of Yorkshire",EASINGWOLD,"54.1331,-1.24619"
133,Royalist,"Matthew Faceby of Huby, North Riding of Yorkshire",SUTTON-ON-THE-FOREST,"54.0839,-1.13527"
134,Royalist,"Edward Norbery of Stillington, North Riding of Yorkshire",STILLINGTON,"54.1030,-1.11067"
135,Royalist,"Stephen Smith of Allerston, North Riding of Yorkshire",ALLERSTON,"54.2334,-0.653337"
136,Royalist,"Nicholas Kitchin of Eston, North Riding of Yorkshire",ORMESBY,"54.5592,-1.14403"
137,Royalist,"Cuthbert Armstrong of Huby, North Riding of Yorkshire",SUTTON-ON-THE-FOREST,"54.0839,-1.13527"
138,Royalist,"William Preistman of Carlton Husthwaite, North Riding of Yorkshire",HUSTHWAITE,"54.1832,-1.23794"
139,Royalist,"Anne Atkinson of Brompton, North Riding of Yorkshire",BROMPTON,"54.3618,-1.42410"
140,Royalist,"James Calvert of Sutton-on-the-Forest, North Riding of Yorkshire",SUTTON-ON-THE-FOREST,"54.0737,-1.10780"
141,Royalist,"John Melmerby of Brompton-on-Swale, North Riding of Yorkshire",EASBY,"54.3924,-1.66460"
142,Royalist,"Stephen Watson of Whitby, North Riding of Yorkshire",WHITBY,"54.4874,-0.615499"
143,Royalist,"John Wilson of Sutton-on-the-Forest, North Riding of Yorkshire",SUTTON-ON-THE-FOREST,"54.0737,-1.10780"
144,Royalist,"Matthew Bell of Hunton, North Riding of Yorkshire",PATRICK BROMPTON,"54.3267,-1.71313"
145,Royalist,"Thomas Allanson of Great Smeaton, North Riding of Yorkshire",GREAT SMEATON,"54.4349,-1.46573"
146,Royalist,"Thomas Baucus of Scarborough, North Riding of Yorkshire",SCARBOROUGH,"54.2844,-0.408660"
147,Royalist,"Giles Woodall of Scarborough, North Riding of Yorkshire",SCARBOROUGH,"54.2844,-0.408660"
148,Royalist,"Simon Hovington of Brompton, North Riding of Yorkshire",BROMPTON,"54.3618,-1.42410"
149,Royalist,"Richard Hornby of Thirsk, North Riding of Yorkshire",THIRSK,"54.2325,-1.34281"
150,Royalist,"Richard Kilvington of Boltby, North Riding of Yorkshire",FELIXKIRK,"54.2727,-1.24832"
151,Royalist,"Frances Appleton of Muscoates, North Riding of Yorkshire",KIRKDALE,"54.2125,-0.944079"
152,Royalist,"John Smales of Hornby, North Riding of Yorkshire",HORNBY,"54.4443,-1.44084"
153,Royalist,"Robert Hutchinson of Yarm, North Riding of Yorkshire",YARM,"54.5091,-1.35434"
154,Royalist,"Henry Covill of Kirby Misperton, North Riding of Yorkshire",KIRBY MISPERTON,"54.2039,-0.806704"
155,Royalist,"Thomas Taylerson of Stainton, North Riding of Yorkshire",STAINTON,"54.3644,-1.84048"
156,Royalist,"John Pearson of Shipton, North Riding of Yorkshire",OVERTON,"54.0219,-1.15764"
157,Royalist,"John Ashwell of Richmond, North Riding of Yorkshire",RICHMOND,"54.4031,-1.73745"
158,Royalist,"John Melmerby of Brompton-on-Swale, North Riding of Yorkshire",EASBY,"54.3924,-1.66460"
159,Royalist,"William Raine of Brignall, North Riding of Yorkshire",ROKEBY,"54.5063,-1.89223"
160,Royalist,"Anne Beckwith of Northallerton, North Riding of Yorkshire",NORTHALLERTON,"54.3404,-1.43455"
161,Royalist,"Thomas Morland of Downholme, North Riding of Yorkshire",DOWNHOLME,"0,0"
162,Royalist,"William Ingram of Downham, North Riding of Yorkshire",DOWNHOLME,"0,0"
163,Royalist,"Christopher Foster of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
164,Royalist,"George Langdale of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
165,Royalist,"Timothy Rose of Kilburn, North Riding of Yorkshire",KILBURN,"54.2099,-1.21466"
166,Royalist,"William Veepon of Boltby, North Riding of Yorkshire",FELIXKIRK,"54.2727,-1.24832"
167,Royalist,"John Burnitt of Raskelf, North Riding of Yorkshire",EASINGWOLD,"54.1331,-1.24619"
168,Royalist,"Barnald Wester of Oldstead, North Riding of Yorkshire",KILBURN,"54.2135,-1.18764"
169,Royalist,"John Waire of Keebecke, North Riding of Yorkshire",COLD KIRBY,"54.2480,-1.18435"
170,Royalist,"James Browne of Thornton-le-Moor, North Riding of Yorkshire",NORTH OTTERINGTON,"54.2874,-1.40050"
171,Royalist,"James Dayle of Cowesby, North Riding of Yorkshire",COWESBY,"54.3024,-1.28606"
172,Royalist,"John Garbutt of Faceby, North Riding of Yorkshire",WHORLTON,"54.4214,-1.23698"
173,Royalist,"Robert Corneforth of Faceby, North Riding of Yorkshire",WHORLTON,"54.4214,-1.23698"
174,Royalist,"James Carter of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
175,Royalist,"Thomas Bransby of South Kilvington, North Riding of Yorkshire",SOUTH KILVINGTON,"54.2509,-1.34867"
176,Royalist,"John Burton of Thornton-le-Beans, North Riding of Yorkshire",NORTH OTTERINGTON,"54.3084,-1.39052"
177,Royalist,"Thomas Woodwart of Raskelf, North Riding of Yorkshire",EASINGWOLD,"54.1331,-1.24619"
178,Royalist,"Francis Lyth of Hustwaite, North Riding of Yorkshire",HUSTHWAITE,"54.1688,-1.20622"
179,Royalist,"Ralph Bullock of Topcliffe, North Riding of Yorkshire",TOPCLIFFE,"54.1781,-1.38704"
180,Royalist,"Elizabeth Danby of Thirsk, North Riding of Yorkshire",THIRSK,"54.2325,-1.34281"
181,Royalist,"Richard Marshall of Northallerton, North Riding of Yorkshire",NORTHALLERTON,"54.3404,-1.43455"
182,Royalist,"Thomas Knowles of Kilburn, North Riding of Yorkshire",KILBURN,"54.2099,-1.21466"
183,Royalist,"Nicholas Fisher of Stearsby, North Riding of Yorkshire",BRANDSBY,"54.1357,-1.06726"
184,Royalist,"Christopher Cawton of Thirkleby, North Riding of Yorkshire",THIRKLEBY,"54.2036,-1.27262"
185,Royalist,"George Joblyn of Thirkleby, North Riding of Yorkshire",THIRKLEBY,"54.2036,-1.27262"
186,Royalist,"James Scotson of Seamer, North Riding of Yorkshire",SEAMER,"54.4846,-1.23238"
187,Royalist,"John Coates of Bilsdale, North Riding of Yorkshire",HELMSLEY,"54.3898,-1.11782"
188,Royalist,"John Soulby of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
189,Royalist,"John Waire of Bilsdale, North Riding of Yorkshire",HELMSLEY,"54.3898,-1.11782"
190,Royalist,"William Hewlin of Hemsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
191,Royalist,"William Tompson of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
192,Royalist,"Christopher Cowe of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
193,Royalist,"Christopher Wilson of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
194,Royalist,"Francis Shipperd of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
195,Royalist,"George Langdale of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
196,Royalist,"John Loggin of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
197,Royalist,"Thomas Lee of New Malton, North Riding of Yorkshire",MALTON,"54.1348,-0.796443"
198,Royalist,"George Render of Raskelf, North Riding of Yorkshire",EASINGWOLD,"54.1331,-1.24619"
199,Royalist,"Thomas Roaxby of Raskelf, North Riding of Yorkshire",EASINGWOLD,"54.1331,-1.24619"
200,Royalist,"Robert Hood of Nether Silton, North Riding of Yorkshire",LEAKE,"54.3248,-1.30041"
201,Royalist,"Roger Pattyson of Kepwick, North Riding of Yorkshire",OVER SILTON,"54.3120,-1.28057"
202,Royalist,"William Ellis of Shipton, North Riding of Yorkshire",OVERTON,"54.0219,-1.15764"
203,Royalist,"Richard Webster of Thornton-le-Street, North Riding of Yorkshire",THORNTON-LE-STREET,"54.2701,-1.36635"
204,Royalist,"John Gunny of Thornton-le-Street, North Riding of Yorkshire",THORNTON-LE-STREET,"54.2701,-1.36635"
205,Royalist,"Christopher Mewborne of Carlton, North Riding of Yorkshire",CARLTON,"54.4316,-1.21868"
206,Royalist,"John Moore of Coxwold, North Riding of Yorkshire",COXWOLD,"54.1872,-1.18182"
207,Royalist,"Robert Elliot of New Malton, North RIding of Yorkshire",MALTON,"54.1348,-0.796443"
208,Royalist,"Walter Spassin of Amotherby, North Riding of Yorkshire",APPLETON-LE-STREET,"54.1505,-0.851737"
209,Royalist,"Robert Foster of Swinton, North Riding of Yorkshire",APPLETON-LE-STREET,"54.1499,-0.839099"
210,Royalist,"John Milnes of Helperby, North Riding of Yorkshire",BRAFFERTON,"54.1237,-1.32896"
211,Royalist,"George Mann of Tholthorpe, North Riding of Yorkshire",ALNE,"54.0966,-1.27818"
212,Royalist,"Mark Bellingham of Carlton, North Riding of Yorkshire",CARLTON,"54.4316,-1.21868"
213,Royalist,"Anne Browne of Huby, North Riding of Yorkshire",SUTTON-ON-THE-FOREST,"54.0839,-1.13527"
214,Royalist,"James Geldart of Clifton, North Riding of Yorkshire",ST OLAVE,"53.9699,-1.09742"
215,Royalist,"William Mills of Linton, North Riding of Yorkshire",NEWTON UPON OUSE,"54.0411,-1.24877"
216,Royalist,"Peter Moore of Tollerton, North Riding of Yorkshire",ALNE,"54.0713,-1.21788"
217,Royalist,"John Grindall of Tollerton, North Riding of Yorkshire",ALNE,"54.0713,-1.21788"
218,Royalist,"William Cowper of Husthwaite, North Riding of Yorkshire",HUSTHWAITE,"54.1688,-1.20622"
219,Royalist,"Susanna Thurnam of Ellerbeck, North Riding of Yorkshire",OSMOTHERLEY,"54.3638,-1.33293"
220,Royalist,"William Chapman of Ellerbeck, North Riding of Yorkshire",OSMOTHERLEY,"54.3638,-1.33293"
221,Royalist,"Thomas Leckonby of Crayke, North Riding of Yorkshire",CRAYKE,"54.1275,-1.14473"
222,Royalist,"John Pearson of Shipton, North Riding of Yorkshire",OVERTON,"54.0219,-1.15764"
223,Royalist,"Robert Rudston of Rockliffe, North RIding of Yorkshire",WHITBY,"54.4785,-1.54529"
224,Royalist,"Christopher Forth of Whitby, North Riding of Yorkshire",WHITBY,"54.4874,-0.615499"
225,Royalist,"Thomas Barber of Whitby, North Riding of Yorkshire",WHITBY,"54.4874,-0.615499"
226,Royalist,"Richard Walker of Whitby, North Riding of Yorkshire",WHITBY,"54.4874,-0.615499"
227,Royalist,"Roger Noble of Whitby, North Riding of Yorkshire",WHITBY,"54.4874,-0.615499"
228,Royalist,"Richard Huntroyd of Fylingdales, North Riding of Yorkshire",,"54.3937,-0.568708"
229,Royalist,"Thomas Weight of Fylingdales, North Riding of Yorkshire",,"54.3937,-0.568708"
230,Royalist,"Robert Stanicliffe of Fylingdales, North Riding of Yorkshire",,"54.3937,-0.568708"
231,Royalist,"Edward Woodcock of Brompton, North Riding of Yorkshire",BROMPTON,"54.3618,-1.42410"
232,Royalist,"Richard Tompson of Lebberston, North Riding of Yorkshire",FILEY,"54.2266,-0.348307"
233,Royalist,"William Hardy of Brompton, North Riding of Yorkshire",BROMPTON,"54.3618,-1.42410"
234,Royalist,"William Umphrey of Ayton, North Riding of Yorkshire",HUTTON BUSCEL,"54.2477,-0.489299"
235,Royalist,"John Graystoke of Thornton, North Riding of Yorkshire",THORNTON DALE,"54.2361,-0.722618"
236,Royalist,"Richard Watson of Thornton, North Riding of Yorkshire",THORNTON DALE,"54.2361,-0.722618"
237,Royalist,"Peter Wilson of Ayton, North RIding of Yorkshire",HUTTON BUSCEL,"54.2477,-0.489299"
238,Royalist,"Robert Tongue of Thornton, North Riding of Yorkshire",THORNTON DALE,"54.2361,-0.722618"
239,Royalist,"Francis Boyes of Thornton, North Riding of Yorkshire",THORNTON DALE,"54.2361,-0.722618"
240,Royalist,"John Hopper of Sawdon, North Riding of Yorkshire",BROMPTON,"54.2480,-0.551169"
241,Royalist,"Thomas Nicholson of Brompton, North Riding of Yorkshire",BROMPTON,"54.3618,-1.42410"
242,Royalist,"William Launder of Brompton, North Riding of Yorkshire",BROMPTON,"54.3618,-1.42410"
243,Royalist,"Henry Watson of Brompton, North Riding of Yorkshire",BROMPTON,"54.3618,-1.42410"
244,Royalist,"John Wilfitt of Hutton Buscel, North Riding of Yorkshire",HUTTON BUSCEL,"54.2444,-0.508072"
245,Royalist,"Robert Jackson of Hutton Buscel, North Riding of Yorkshire",HUTTON BUSCEL,"54.2444,-0.508072"
246,Royalist,"Westropp Laycock of Wykeham, North Riding of Yorkshire",WYKEHAM,"54.2348,-0.520972"
247,Royalist,"Marmaduke Pattison of Old Malton, North Riding of Yorkshire",MALTON,"54.1461,-0.780080"
